ax,ay,az,gx,gy,gz,temperature
Initializing MPU6050...
MPU6050 connected.
0.26, -0.44, 0.08, -4.19, 1.86, 0.03, 22.45 °C
0.26, -0.44, 0.08, -2.13, 0.91, -0.02, 22.43 °C
0.26, -0.44, 0.08, -2.11, 0.93, -0.05, 22.42 °C
0.27, -0.44, 0.08, -2.11, 0.88, -0.02, 22.43 °C
0.26, -0.44, 0.08, -2.11, 0.91, 0.02, 22.41 °C
0.26, -0.44, 0.08, -2.13, 0.90, -0.01, 22.44 °C
0.26, -0.44, 0.08, -2.12, 0.91, -0.01, 22.42 °C
0.27, -0.44, 0.08, -2.12, 0.92, -0.01, 22.43 °C
0.27, -0.44, 0.08, -2.12, 0.89, 0.00, 22.42 °C
0.26, -0.44, 0.08, -2.09, 0.89, -0.01, 22.41 °C
0.26, -0.44, 0.08, -2.11, 0.93, 0.02, 22.41 °C
0.26, -0.44, 0.08, -2.14, 0.92, -0.01, 22.42 °C
0.27, -0.44, 0.09, -2.09, 0.89, -0.02, 22.41 °C
0.26, -0.44, 0.09, -2.11, 0.94, -0.02, 22.39 °C
0.27, -0.44, 0.09, -2.12, 0.92, 0.00, 22.41 °C
0.26, -0.44, 0.09, -2.11, 0.95, 0.00, 22.38 °C
0.26, -0.44, 0.08, -2.11, 0.90, -0.01, 22.39 °C
0.27, -0.44, 0.08, -2.12, 0.93, 0.01, 22.39 °C
0.27, -0.44, 0.08, -2.11, 0.93, 0.01, 22.37 °C
0.27, -0.44, 0.09, -2.15, 0.91, -0.02, 22.40 °C
0.26, -0.44, 0.08, -2.09, 0.95, -0.01, 22.40 °C
0.26, -0.44, 0.08, -2.14, 0.91, -0.02, 22.37 °C
0.26, -0.44, 0.09, -2.13, 0.92, -0.02, 22.38 °C
0.26, -0.44, 0.08, -2.11, 0.92, 0.02, 22.36 °C
0.27, -0.44, 0.09, -2.11, 0.92, 0.00, 22.35 °C
0.26, -0.44, 0.08, -2.10, 0.95, 0.02, 22.35 °C
0.26, -0.44, 0.09, -2.11, 0.91, 0.00, 22.37 °C
0.26, -0.44, 0.09, -2.12, 0.91, -0.02, 22.35 °C
0.26, -0.44, 0.08, -2.09, 0.89, -0.03, 22.37 °C
0.26, -0.44, 0.09, -2.11, 0.89, 0.02, 22.35 °C
0.27, -0.44, 0.09, -2.11, 0.90, 0.00, 22.36 °C
0.26, -0.44, 0.08, -2.10, 0.94, 0.02, 22.38 °C
0.26, -0.44, 0.09, -2.11, 0.95, -0.02, 22.36 °C
0.27, -0.44, 0.09, -2.13, 0.89, -0.09, 22.37 °C
0.26, -0.44, 0.09, -2.12, 0.92, -0.05, 22.35 °C
0.26, -0.44, 0.08, -2.11, 0.89, 0.02, 22.34 °C
0.26, -0.44, 0.08, -2.10, 0.92, -0.01, 22.34 °C
0.26, -0.44, 0.08, -2.11, 0.92, -0.02, 22.34 °C
0.27, -0.44, 0.08, -2.10, 0.92, 0.00, 22.35 °C
0.27, -0.44, 0.09, -2.11, 0.91, -0.03, 22.32 °C
0.26, -0.44, 0.09, -2.10, 0.90, 0.00, 22.33 °C
0.26, -0.44, 0.08, -2.11, 0.92, 0.00, 22.33 °C
0.26, -0.44, 0.08, -2.11, 0.94, -0.01, 22.32 °C
0.26, -0.44, 0.09, -2.10, 0.92, -0.01, 22.33 °C
0.26, -0.44, 0.08, -2.11, 0.93, -0.02, 22.33 °C
0.26, -0.44, 0.09, -2.13, 0.92, -0.01, 22.32 °C
0.26, -0.44, 0.08, -2.13, 0.91, 0.01, 22.32 °C
0.26, -0.44, 0.08, -2.12, 0.91, -0.02, 22.32 °C
0.26, -0.44, 0.09, -2.13, 0.92, 0.02, 22.32 °C
0.26, -0.44, 0.08, -2.13, 0.91, 0.00, 22.33 °C
0.26, -0.44, 0.09, -2.11, 0.91, 0.03, 22.34 °C
0.28, -0.44, 0.07, -3.65, 4.66, 2.18, 22.33 °C
0.26, -0.45, 0.10, 1.32, -6.35, 4.98, 22.66 °C
0.27, -0.45, 0.10, 10.17, -11.79, 7.55, 23.22 °C
0.24, -0.44, 0.12, 4.83, -6.40, 2.59, 23.67 °C
0.25, -0.48, 0.11, -2.14, -2.89, 3.39, 24.06 °C
0.23, -0.45, 0.10, 3.17, 7.76, 8.92, 24.37 °C
0.20, -0.46, 0.13, -0.10, -4.63, 2.80, 24.63 °C
0.21, -0.47, 0.11, -2.20, -1.60, 1.76, 24.88 °C
0.22, -0.47, 0.11, -3.08, -1.76, -1.66, 25.09 °C
0.21, -0.46, 0.11, -0.55, -0.79, -0.96, 25.28 °C
0.22, -0.48, 0.10, -1.11, -1.88, 0.21, 25.44 °C
0.21, -0.46, 0.11, -2.13, 1.21, -1.04, 25.61 °C
0.23, -0.47, 0.10, -6.04, 0.96, -1.16, 25.74 °C
0.22, -0.46, 0.11, -1.36, 2.95, -1.27, 25.85 °C
0.22, -0.46, 0.11, -3.73, 2.10, -0.53, 25.99 °C
0.22, -0.46, 0.10, -2.66, 1.02, -0.98, 26.09 °C
0.23, -0.46, 0.10, -2.89, 0.15, -0.24, 26.20 °C
0.22, -0.47, 0.10, -1.81, 0.97, -0.05, 26.29 °C
0.23, -0.46, 0.10, -3.24, 0.51, -0.60, 26.39 °C
0.23, -0.46, 0.10, -2.79, 0.71, 0.21, 26.47 °C
0.24, -0.46, 0.08, -1.76, -2.27, 1.06, 26.53 °C
0.22, -0.46, 0.09, -2.21, 1.30, -0.61, 26.63 °C
0.23, -0.46, 0.09, -1.83, -0.18, -0.42, 26.71 °C
0.23, -0.47, 0.09, -1.06, 0.25, -0.11, 26.79 °C
0.23, -0.46, 0.09, -1.22, 0.91, 0.35, 26.87 °C
0.22, -0.45, 0.09, -2.83, 1.37, -0.34, 26.93 °C
0.23, -0.46, 0.09, -1.92, -0.85, -0.14, 27.01 °C
0.23, -0.46, 0.09, -2.54, 1.22, 0.09, 27.06 °C
0.23, -0.46, 0.09, -2.18, 0.89, -0.10, 27.14 °C
0.23, -0.46, 0.09, -1.89, 0.37, 0.14, 27.21 °C
0.23, -0.46, 0.09, -1.70, -0.10, 0.08, 27.23 °C
0.23, -0.46, 0.09, -2.56, 1.33, -0.35, 27.32 °C
0.23, -0.46, 0.09, -2.19, 0.60, 0.28, 27.37 °C
0.23, -0.46, 0.08, -2.48, 0.80, 0.64, 27.40 °C
0.23, -0.46, 0.09, -2.07, 0.85, 0.10, 27.47 °C
0.23, -0.46, 0.09, -2.14, 0.79, 0.69, 27.49 °C
0.23, -0.46, 0.09, -2.55, 0.92, 1.45, 27.59 °C
0.23, -0.46, 0.08, -2.17, 1.19, 0.44, 27.63 °C
0.23, -0.46, 0.08, -2.09, 2.42, 0.31, 27.67 °C
0.23, -0.46, 0.09, -2.00, 0.18, 0.07, 27.71 °C
0.23, -0.46, 0.09, -2.00, 0.49, 0.34, 27.76 °C
0.23, -0.46, 0.08, -1.95, 0.62, 0.06, 27.81 °C
0.23, -0.46, 0.08, -2.02, 0.32, -0.04, 27.83 °C
0.23, -0.46, 0.08, -1.77, 0.13, -1.13, 27.87 °C
0.23, -0.46, 0.08, -2.16, 0.81, -0.14, 27.92 °C
0.23, -0.46, 0.08, -1.95, 0.79, 0.08, 27.95 °C
0.23, -0.46, 0.08, -2.31, 1.23, -0.57, 27.99 °C
0.23, -0.46, 0.08, -1.95, 0.24, -0.40, 28.04 °C
0.23, -0.46, 0.08, -1.35, -0.34, 0.54, 28.08 °C
0.23, -0.46, 0.08, -2.06, 0.85, 0.15, 28.11 °C
0.23, -0.46, 0.08, -2.46, 0.55, -0.44, 28.14 °C
0.23, -0.46, 0.08, -2.16, 0.53, 0.15, 28.17 °C
0.23, -0.46, 0.08, -2.25, 1.53, 0.33, 28.20 °C
0.23, -0.46, 0.08, -1.98, 0.18, -0.30, 28.24 °C
0.23, -0.46, 0.08, -1.97, 0.40, -0.21, 28.28 °C
0.23, -0.45, 0.08, -1.70, 0.40, 0.73, 28.31 °C
0.23, -0.46, 0.08, -2.18, 0.45, 0.21, 28.35 °C
0.23, -0.46, 0.08, -1.73, 0.78, 0.25, 28.39 °C
0.23, -0.46, 0.08, -2.05, 0.34, 0.32, 28.40 °C
0.23, -0.46, 0.08, -2.73, 1.76, 1.09, 28.44 °C
0.23, -0.46, 0.08, -2.11, 0.85, 0.00, 28.47 °C
0.23, -0.46, 0.08, -2.61, 0.61, 0.61, 28.50 °C
0.23, -0.46, 0.08, -1.37, 0.55, -0.18, 28.53 °C
0.23, -0.46, 0.08, -2.10, 0.56, 0.27, 28.53 °C
0.23, -0.46, 0.08, -2.02, 0.60, -0.25, 28.55 °C
0.23, -0.46, 0.08, -2.07, 0.80, -0.61, 28.58 °C
0.23, -0.46, 0.08, -2.86, 1.62, 0.79, 28.62 °C
0.23, -0.46, 0.08, -1.47, 0.93, 0.32, 28.64 °C
0.23, -0.46, 0.08, -2.18, 0.86, -0.38, 28.65 °C
0.23, -0.46, 0.08, -2.31, 0.98, 0.40, 28.69 °C
0.23, -0.46, 0.08, -2.56, 1.15, 0.65, 28.72 °C
0.23, -0.46, 0.08, -1.98, 0.42, -0.39, 28.74 °C
0.23, -0.46, 0.08, -1.98, 0.67, -0.26, 28.74 °C
0.23, -0.46, 0.08, -2.00, 1.44, 0.67, 28.77 °C
0.23, -0.46, 0.08, -1.95, 1.11, -0.24, 28.80 °C
0.23, -0.46, 0.08, -2.81, 1.01, 1.00, 28.82 °C
0.23, -0.46, 0.08, -2.51, 0.79, 0.76, 28.85 °C
0.22, -0.46, 0.08, -2.04, 0.87, -0.66, 28.87 °C
0.23, -0.46, 0.08, -1.60, 0.89, 0.08, 28.88 °C
0.23, -0.46, 0.08, -2.03, 0.71, 0.46, 28.91 °C
0.23, -0.46, 0.08, -2.60, 1.44, 0.84, 28.91 °C
0.23, -0.46, 0.08, -2.54, 1.03, -0.15, 28.93 °C
0.23, -0.46, 0.08, -2.43, 0.70, 0.42, 28.96 °C
0.23, -0.46, 0.08, -3.31, 0.50, 0.69, 28.99 °C
0.23, -0.46, 0.07, -3.20, 0.18, 0.76, 29.00 °C
0.23, -0.46, 0.07, -2.57, 0.67, 0.50, 29.02 °C
0.23, -0.46, 0.07, -3.48, 0.16, 0.49, 29.04 °C
0.22, -0.46, 0.07, -2.26, 0.93, -0.02, 29.05 °C
0.22, -0.46, 0.07, -2.29, 0.98, -0.31, 29.09 °C
0.23, -0.46, 0.07, -2.44, 0.85, 0.19, 29.07 °C
0.23, -0.46, 0.07, -2.52, 0.83, 0.50, 29.10 °C
0.23, -0.46, 0.07, -2.63, 1.15, 0.14, 29.14 °C
0.23, -0.46, 0.07, -1.52, 0.78, 0.15, 29.14 °C
0.23, -0.46, 0.07, -2.27, 0.98, -0.03, 29.16 °C
0.23, -0.46, 0.06, -2.27, 1.11, 0.48, 29.17 °C
0.23, -0.46, 0.06, -1.01, 0.78, -0.33, 29.18 °C
0.23, -0.46, 0.07, -2.02, 1.39, 0.23, 29.20 °C
0.23, -0.46, 0.07, -2.61, 1.24, 0.37, 29.22 °C
0.23, -0.46, 0.07, -1.47, 1.35, 0.00, 29.24 °C
0.23, -0.46, 0.07, -1.51, 0.53, -0.06, 29.24 °C
0.23, -0.46, 0.07, -2.44, 0.90, -0.08, 29.27 °C
0.23, -0.46, 0.07, -2.41, 0.97, 0.44, 29.28 °C
0.23, -0.46, 0.07, -1.08, 0.65, -0.45, 29.31 °C
0.23, -0.46, 0.07, -1.44, 1.04, -0.40, 29.31 °C
0.23, -0.46, 0.07, -1.03, 2.50, 0.45, 29.33 °C
0.23, -0.46, 0.06, -2.22, 0.69, -0.80, 29.34 °C
0.23, -0.46, 0.07, -2.10, -0.20, -0.73, 29.36 °C
0.23, -0.46, 0.07, -2.59, 0.59, -0.03, 29.38 °C
0.23, -0.46, 0.07, -2.11, 0.44, -0.06, 29.37 °C
0.23, -0.46, 0.07, -0.88, 0.76, -0.46, 29.39 °C
0.23, -0.46, 0.07, -2.36, 0.56, 0.45, 29.39 °C
0.23, -0.46, 0.07, -2.53, 1.32, 0.52, 29.40 °C
0.23, -0.46, 0.07, -2.39, 0.37, 0.66, 29.43 °C
0.23, -0.46, 0.07, -3.06, 0.05, 0.34, 29.44 °C
0.23, -0.46, 0.07, -2.09, 0.95, -0.08, 29.45 °C
0.23, -0.46, 0.07, -2.19, 0.18, -0.52, 29.46 °C
0.23, -0.46, 0.07, -1.53, 1.41, 0.59, 29.46 °C
0.23, -0.46, 0.07, -1.76, 0.66, -0.21, 29.49 °C
0.23, -0.46, 0.07, -2.49, 0.75, 0.04, 29.51 °C
0.23, -0.46, 0.07, -2.38, 0.71, 0.58, 29.51 °C
0.23, -0.46, 0.06, -2.02, 0.85, -0.05, 29.52 °C
0.23, -0.46, 0.07, -2.27, 0.25, 0.27, 29.54 °C
0.23, -0.46, 0.07, -2.66, 1.32, 0.52, 29.54 °C
0.23, -0.46, 0.07, -3.15, 1.55, 1.54, 29.56 °C
0.23, -0.46, 0.07, -1.65, 0.89, 0.08, 29.57 °C
0.23, -0.46, 0.07, -1.70, 0.96, 0.24, 29.57 °C
0.23, -0.46, 0.07, -2.27, 0.43, 0.19, 29.59 °C
0.23, -0.46, 0.07, -1.90, 0.68, -0.22, 29.61 °C
0.23, -0.46, 0.07, -1.85, 0.76, -0.38, 29.62 °C
0.23, -0.46, 0.07, -2.58, 0.44, -0.11, 29.62 °C
0.23, -0.46, 0.06, -2.24, 1.24, 0.89, 29.63 °C
0.23, -0.46, 0.07, -2.96, 0.81, -0.46, 29.62 °C
0.23, -0.46, 0.07, -1.27, 0.73, -0.25, 29.64 °C
0.23, -0.46, 0.07, -2.25, 1.08, 0.08, 29.65 °C
0.23, -0.46, 0.07, -3.63, 1.39, 1.11, 29.68 °C
0.23, -0.46, 0.06, -2.01, 1.49, 0.37, 29.68 °C
0.23, -0.46, 0.06, -1.23, 0.56, -0.74, 29.68 °C
0.23, -0.46, 0.07, -1.85, 1.60, 0.33, 29.70 °C
0.23, -0.46, 0.07, -2.50, 0.69, -0.27, 29.71 °C
0.23, -0.46, 0.07, -1.34, 0.49, -0.34, 29.73 °C
0.23, -0.46, 0.07, -3.12, 0.92, 0.11, 29.73 °C
0.23, -0.46, 0.07, -1.85, 0.37, 0.01, 29.74 °C
0.23, -0.46, 0.07, -2.15, 1.05, 0.46, 29.76 °C
0.23, -0.46, 0.07, -2.95, 0.06, -0.03, 29.77 °C
0.23, -0.46, 0.06, -2.40, 1.27, 0.66, 29.77 °C
0.23, -0.46, 0.06, -2.01, 1.01, 0.52, 29.78 °C
0.23, -0.46, 0.06, -2.03, 0.73, 0.21, 29.81 °C
0.23, -0.46, 0.06, -2.26, 0.69, 0.21, 29.80 °C
0.23, -0.46, 0.06, -1.94, 0.89, 0.56, 29.84 °C
0.23, -0.46, 0.07, -2.13, 0.78, -0.03, 29.83 °C
0.23, -0.46, 0.06, -2.08, 0.79, 0.32, 29.85 °C
0.23, -0.46, 0.06, -2.12, 0.89, 0.92, 29.84 °C
0.22, -0.46, 0.06, -2.08, 1.11, -0.51, 29.87 °C
0.22, -0.46, 0.06, -2.08, 0.85, 0.66, 29.87 °C
0.22, -0.46, 0.06, -2.11, 0.85, 0.00, 29.87 °C
0.22, -0.46, 0.06, -2.11, 1.05, -0.26, 29.89 °C
0.22, -0.46, 0.06, -1.97, 0.74, -0.02, 29.91 °C
0.22, -0.46, 0.06, -2.14, 0.79, -0.44, 29.90 °C
0.22, -0.46, 0.06, -1.46, -0.15, 0.18, 29.91 °C
0.22, -0.46, 0.06, -2.18, 1.18, -0.08, 29.93 °C
0.23, -0.46, 0.06, -1.98, 1.02, 0.46, 29.93 °C
0.22, -0.46, 0.07, -2.16, 0.98, 0.24, 29.94 °C
0.22, -0.46, 0.06, -2.14, 0.93, -0.57, 29.93 °C
0.22, -0.46, 0.06, -2.08, 0.85, 0.02, 29.98 °C
0.22, -0.46, 0.06, -1.99, 0.58, -0.57, 29.97 °C
0.23, -0.46, 0.06, -2.21, 0.60, 0.97, 29.96 °C
0.22, -0.46, 0.06, -2.54, 2.10, 0.19, 30.01 °C
0.22, -0.46, 0.06, -2.19, 1.05, -0.16, 30.00 °C
0.23, -0.46, 0.06, -2.34, 1.21, 0.93, 30.01 °C
0.23, -0.46, 0.06, -2.02, 0.61, -0.58, 30.02 °C
0.23, -0.46, 0.06, -2.18, 0.95, 0.85, 30.03 °C
0.23, -0.46, 0.06, -1.98, 0.70, 0.02, 30.01 °C
0.23, -0.46, 0.06, -2.03, 0.82, 0.41, 30.04 °C
0.23, -0.46, 0.06, -2.31, 1.28, 0.37, 30.05 °C
0.23, -0.46, 0.06, -2.02, 0.72, -0.27, 30.05 °C
0.23, -0.46, 0.06, -2.11, 0.90, 0.07, 30.06 °C
0.23, -0.46, 0.06, -1.94, 0.68, 0.08, 30.06 °C
0.23, -0.46, 0.06, -2.31, 1.04, 0.42, 30.08 °C
0.23, -0.46, 0.07, -2.24, 0.82, 0.12, 30.09 °C
0.23, -0.46, 0.06, -2.18, 0.86, 0.63, 30.08 °C
0.22, -0.46, 0.06, -2.18, 1.23, 1.08, 30.10 °C
0.23, -0.46, 0.06, -1.79, 0.29, -0.79, 30.12 °C
0.23, -0.46, 0.07, -2.20, 0.85, -0.02, 30.12 °C
0.23, -0.46, 0.06, -2.09, 0.79, 0.89, 30.12 °C
0.23, -0.46, 0.06, -2.11, 0.76, 0.68, 30.14 °C
0.23, -0.46, 0.06, -2.05, 0.89, -0.03, 30.14 °C
0.22, -0.46, 0.06, -2.13, 0.75, 0.69, 30.14 °C
0.22, -0.46, 0.06, -1.98, 0.84, 0.66, 30.15 °C
0.23, -0.46, 0.06, -2.23, 0.91, -0.07, 30.16 °C
0.23, -0.46, 0.06, -2.12, 0.82, 0.24, 30.18 °C
0.23, -0.46, 0.06, -2.08, 1.08, -1.07, 30.17 °C
0.23, -0.46, 0.06, -2.18, 0.79, -0.02, 30.18 °C
0.22, -0.46, 0.06, -2.08, 0.84, -0.70, 30.20 °C
0.23, -0.46, 0.06, -2.09, 0.87, 0.02, 30.19 °C
0.23, -0.46, 0.06, -2.10, 0.96, 0.23, 30.21 °C
0.23, -0.46, 0.06, -2.24, 1.18, 0.05, 30.23 °C
0.23, -0.46, 0.06, -2.09, 0.92, 0.63, 30.20 °C
0.23, -0.46, 0.06, -2.02, 0.47, -0.15, 30.21 °C
0.23, -0.46, 0.06, -1.98, 0.80, -0.53, 30.24 °C
0.23, -0.46, 0.06, -3.04, 0.86, 0.15, 30.23 °C
0.23, -0.46, 0.06, -1.60, 1.02, -0.11, 30.24 °C
0.23, -0.46, 0.06, -1.93, 1.79, 0.40, 30.24 °C
0.23, -0.46, 0.06, -2.64, -0.27, -1.04, 30.26 °C
0.23, -0.46, 0.06, -3.01, 1.08, 0.72, 30.27 °C
0.23, -0.46, 0.06, -2.18, 1.31, 1.08, 30.27 °C
0.23, -0.46, 0.06, -1.87, 0.41, -0.03, 30.27 °C
0.23, -0.46, 0.06, -1.75, 0.15, -0.83, 30.27 °C
0.23, -0.46, 0.07, -1.92, 0.54, 0.05, 30.27 °C
0.23, -0.46, 0.06, -2.05, 1.17, 0.21, 30.29 °C
0.23, -0.46, 0.06, -1.62, 0.74, -0.41, 30.30 °C
0.23, -0.46, 0.06, -3.01, 1.05, 0.69, 30.29 °C
0.23, -0.46, 0.06, -2.25, 0.92, 0.48, 30.31 °C
0.23, -0.46, 0.06, -2.06, 0.85, 0.72, 30.32 °C
0.23, -0.46, 0.06, -1.95, 0.58, -0.72, 30.32 °C
0.23, -0.46, 0.06, -2.27, 0.92, 0.29, 30.33 °C
0.23, -0.46, 0.06, -2.08, 0.87, 0.29, 30.33 °C
0.23, -0.46, 0.06, -2.03, 0.80, 0.38, 30.35 °C
0.23, -0.46, 0.06, -2.26, 1.27, 0.67, 30.34 °C
0.23, -0.46, 0.06, -2.11, 0.96, 0.01, 30.35 °C
0.23, -0.46, 0.06, -2.10, 0.76, -0.63, 30.34 °C
0.23, -0.46, 0.06, -2.63, 1.90, 0.88, 30.36 °C
0.23, -0.46, 0.06, -2.31, 1.09, 0.11, 30.37 °C
0.23, -0.46, 0.06, -2.10, 0.85, -0.65, 30.38 °C
0.23, -0.46, 0.06, -1.41, 1.49, -0.27, 30.37 °C
0.23, -0.46, 0.06, -1.98, 1.32, 0.07, 30.38 °C
0.23, -0.46, 0.07, -3.43, 1.25, 0.63, 30.38 °C
0.23, -0.46, 0.06, -2.23, 0.63, 0.40, 30.41 °C
0.23, -0.46, 0.06, -1.24, 1.20, -0.31, 30.41 °C
0.23, -0.46, 0.06, -3.03, 1.49, 0.69, 30.41 °C
0.23, -0.46, 0.06, -1.12, 0.08, -1.14, 30.43 °C
0.23, -0.46, 0.06, -2.48, 0.52, 0.19, 30.43 °C
0.23, -0.46, 0.06, -2.79, 0.41, 0.18, 30.42 °C
0.23, -0.46, 0.06, -2.26, 1.29, 1.04, 30.43 °C
0.23, -0.46, 0.06, -1.95, 0.43, -0.09, 30.43 °C
0.23, -0.46, 0.06, -2.09, 0.75, -0.04, 30.44 °C
0.23, -0.46, 0.06, -2.15, 1.15, 0.74, 30.43 °C
0.23, -0.46, 0.06, -2.11, 0.90, -0.14, 30.44 °C
0.23, -0.46, 0.06, -1.44, 0.99, 0.13, 30.45 °C
0.23, -0.46, 0.06, -2.35, 1.04, 0.89, 30.47 °C
0.23, -0.46, 0.06, -2.08, 1.13, -0.04, 30.44 °C
0.23, -0.46, 0.06, -2.07, 0.86, -0.29, 30.49 °C
0.23, -0.46, 0.06, -2.10, 0.82, 0.53, 30.47 °C
0.23, -0.46, 0.06, -1.92, 0.71, 0.60, 30.47 °C
0.23, -0.46, 0.06, -2.10, 0.68, -0.29, 30.50 °C
0.23, -0.46, 0.06, -2.14, 0.89, 0.33, 30.49 °C
0.23, -0.46, 0.06, -2.26, 1.16, 0.46, 30.52 °C
0.23, -0.46, 0.06, -2.15, 1.04, 0.66, 30.49 °C
0.23, -0.46, 0.06, -1.61, 0.22, -0.92, 30.51 °C
0.23, -0.46, 0.06, -2.15, 0.70, 1.08, 30.52 °C
0.23, -0.46, 0.06, -2.06, 0.99, 0.68, 30.52 °C
0.23, -0.46, 0.06, -2.36, 1.23, -0.68, 30.52 °C
0.23, -0.46, 0.06, -2.25, 0.92, -0.08, 30.54 °C
0.23, -0.46, 0.06, -2.04, 0.78, -0.27, 30.55 °C
0.23, -0.46, 0.06, -2.34, 1.54, 0.53, 30.55 °C
0.23, -0.46, 0.06, -1.64, -0.07, -1.14, 30.55 °C
0.23, -0.46, 0.06, -2.31, 0.76, -0.25, 30.56 °C
0.23, -0.46, 0.06, -1.82, 0.87, 1.22, 30.58 °C
0.23, -0.45, 0.05, -1.85, 0.44, 0.01, 30.58 °C
0.23, -0.46, 0.06, -2.18, 0.69, 1.21, 30.58 °C
0.23, -0.46, 0.06, -2.17, 0.62, -0.56, 30.56 °C
0.23, -0.46, 0.06, -2.14, 0.92, -0.36, 30.59 °C
0.23, -0.46, 0.06, -1.69, 0.47, -0.04, 30.59 °C
0.23, -0.46, 0.06, -2.12, 0.75, -0.68, 30.60 °C
0.23, -0.46, 0.06, -2.03, 0.85, 1.18, 30.61 °C
0.23, -0.46, 0.06, -2.08, 0.37, -1.41, 30.61 °C
0.23, -0.46, 0.06, -2.26, 1.05, 1.25, 30.60 °C
0.23, -0.46, 0.06, -2.08, 0.89, 0.03, 30.61 °C
0.23, -0.46, 0.06, -2.03, 0.73, 0.11, 30.62 °C
0.23, -0.46, 0.06, -2.15, 0.81, 0.08, 30.60 °C
0.23, -0.46, 0.06, -2.08, 0.87, 0.08, 30.62 °C
0.23, -0.46, 0.06, -2.06, 0.92, 1.34, 30.62 °C
0.23, -0.46, 0.06, -2.29, 1.21, -0.50, 30.62 °C
0.23, -0.46, 0.06, -2.45, 1.47, -0.43, 30.64 °C
0.24, -0.46, 0.06, -1.89, 0.50, 0.08, 30.66 °C
0.23, -0.46, 0.06, -2.05, 0.73, 0.73, 30.64 °C
0.23, -0.46, 0.06, -1.90, 0.21, -1.87, 30.65 °C
0.23, -0.46, 0.06, -1.98, 0.62, 0.01, 30.66 °C
0.23, -0.46, 0.06, -2.09, 1.12, 0.83, 30.67 °C
0.24, -0.46, 0.06, -2.24, 1.23, -0.11, 30.66 °C
0.23, -0.46, 0.06, -2.29, 1.15, -0.02, 30.66 °C
0.24, -0.46, 0.06, -1.97, 0.58, -0.01, 30.67 °C
0.24, -0.46, 0.06, -2.17, 0.67, -0.21, 30.69 °C
0.23, -0.46, 0.06, -2.19, 1.02, 0.20, 30.68 °C
0.23, -0.46, 0.06, -2.31, 0.99, -0.08, 30.69 °C
