ax,ay,az,gx,gy,gz,temperature
0.23, -0.46, 0.06, -2.17, 0.98, 0.07, 30.68 °C
0.23, -0.46, 0.06, -2.12, 0.98, 0.34, 30.72 °C
0.23, -0.46, 0.06, -2.01, 0.53, 0.31, 30.70 °C
0.23, -0.46, 0.06, -2.24, 1.21, 0.72, 30.71 °C
0.23, -0.46, 0.06, -2.08, 0.75, 0.25, 30.70 °C
0.23, -0.46, 0.06, -2.11, 0.75, 1.18, 30.73 °C
0.23, -0.46, 0.06, -1.92, 0.38, -0.44, 30.73 °C
0.23, -0.46, 0.06, -2.04, 0.82, -1.01, 30.73 °C
0.23, -0.46, 0.06, -2.02, 0.96, 1.73, 30.74 °C
0.23, -0.46, 0.06, -2.11, 1.11, -1.00, 30.75 °C
0.23, -0.46, 0.06, -2.41, 1.40, 1.14, 30.75 °C
0.23, -0.46, 0.06, -2.12, 0.75, 0.76, 30.77 °C
0.23, -0.46, 0.06, -1.92, 0.55, -0.97, 30.77 °C
0.23, -0.46, 0.06, -1.95, 0.76, 0.32, 30.77 °C
0.23, -0.46, 0.06, -2.18, 0.94, -1.64, 30.75 °C
0.23, -0.46, 0.06, -2.14, 1.02, 0.18, 30.76 °C
0.23, -0.46, 0.06, -2.08, 0.89, 0.60, 30.75 °C
0.23, -0.46, 0.06, -2.09, 0.80, 0.83, 30.76 °C
0.23, -0.46, 0.06, -2.27, 1.47, 0.88, 30.78 °C
0.23, -0.46, 0.06, -2.28, 0.61, -0.27, 30.77 °C
0.23, -0.46, 0.06, -1.94, 0.85, 0.28, 30.78 °C
0.23, -0.46, 0.06, -2.24, 1.34, 0.38, 30.78 °C
0.23, -0.46, 0.06, -2.06, 0.73, -0.50, 30.78 °C
0.23, -0.46, 0.06, -2.50, 1.35, -2.56, 30.79 °C
0.23, -0.46, 0.06, -2.26, 1.03, 0.35, 30.81 °C
0.23, -0.46, 0.06, -2.28, 1.32, -0.27, 30.80 °C
0.24, -0.45, 0.06, -2.70, 0.33, -0.26, 30.80 °C
0.23, -0.46, 0.06, -1.04, 0.92, -0.65, 30.82 °C
0.23, -0.45, 0.06, -1.17, 1.21, -0.18, 30.81 °C
0.24, -0.46, 0.06, -2.41, 0.67, 0.09, 30.80 °C
0.24, -0.45, 0.06, -2.58, 1.35, 0.98, 30.82 °C
0.24, -0.46, 0.06, -2.02, 0.57, 0.25, 30.83 °C
0.24, -0.46, 0.06, -2.38, 0.95, -0.07, 30.84 °C
0.24, -0.46, 0.06, -1.97, 0.82, 0.82, 30.83 °C
0.23, -0.46, 0.06, -1.99, 0.64, -0.39, 30.85 °C
0.24, -0.45, 0.06, -2.25, 1.15, 0.71, 30.85 °C
0.24, -0.46, 0.06, -2.12, 0.93, 0.36, 30.84 °C
0.23, -0.46, 0.06, -2.11, 0.96, 0.61, 30.84 °C
0.23, -0.46, 0.06, -1.96, 0.48, -0.36, 30.87 °C
0.24, -0.46, 0.06, -2.08, 0.66, -0.28, 30.84 °C
0.24, -0.46, 0.06, -1.95, 0.66, 0.68, 30.87 °C
0.23, -0.46, 0.06, -1.56, -0.04, -1.34, 30.87 °C
0.24, -0.46, 0.06, -2.22, 0.81, 0.19, 30.87 °C
0.24, -0.46, 0.06, -2.05, 0.81, 0.40, 30.88 °C
0.24, -0.46, 0.06, -2.11, 0.83, 1.00, 30.88 °C
0.24, -0.46, 0.06, -2.15, 0.81, 0.07, 30.87 °C
0.24, -0.46, 0.06, -2.02, 0.70, 0.13, 30.89 °C
0.23, -0.46, 0.06, -2.15, 1.11, 1.05, 30.87 °C
0.24, -0.46, 0.06, -1.98, 0.50, 0.09, 30.89 °C
0.23, -0.46, 0.06, -2.13, 0.96, 0.34, 30.91 °C
0.23, -0.46, 0.06, -2.14, 1.07, -0.15, 30.89 °C
0.24, -0.46, 0.06, -2.87, 1.85, -0.29, 30.90 °C
0.24, -0.45, 0.06, -3.76, 1.53, -1.35, 30.90 °C
0.23, -0.46, 0.06, -1.81, 1.53, -0.24, 30.90 °C
0.23, -0.46, 0.06, -1.52, -0.28, 1.69, 30.94 °C
0.24, -0.45, 0.06, -0.82, 0.14, -0.48, 30.92 °C
0.24, -0.45, 0.07, -1.47, 0.21, -2.46, 30.93 °C
0.24, -0.45, 0.06, -3.45, 1.36, 0.47, 30.93 °C
0.24, -0.45, 0.06, -2.25, -0.15, 1.19, 30.93 °C
0.24, -0.45, 0.06, -0.89, 0.28, 1.92, 30.94 °C
0.24, -0.46, 0.06, -2.58, 1.15, 0.77, 30.94 °C
0.23, -0.46, 0.06, -1.94, 0.45, 0.61, 30.93 °C
0.24, -0.46, 0.06, -2.27, 1.45, 1.51, 30.93 °C
0.23, -0.46, 0.06, -2.22, 0.92, 0.20, 30.94 °C
0.24, -0.46, 0.06, -2.56, 1.36, 2.15, 30.96 °C
0.22, -0.46, 0.07, -2.35, 1.27, 1.47, 30.97 °C
0.24, -0.46, 0.06, -2.68, 1.99, -0.02, 30.98 °C
0.23, -0.46, 0.06, -2.80, 1.96, -0.69, 30.98 °C
0.23, -0.46, 0.06, -2.55, 1.25, 0.04, 30.96 °C
0.24, -0.46, 0.06, -2.06, 0.60, 0.34, 30.97 °C
0.23, -0.46, 0.06, -1.95, 0.44, 0.79, 30.97 °C
0.23, -0.46, 0.06, -2.12, 1.00, -0.21, 30.99 °C
0.23, -0.46, 0.06, -2.08, 0.95, 0.34, 30.99 °C
0.24, -0.46, 0.06, -2.28, 0.62, -0.80, 30.98 °C
0.23, -0.46, 0.06, -2.34, 1.11, 1.28, 30.99 °C
0.23, -0.46, 0.06, -2.06, 1.06, 0.54, 31.00 °C
0.23, -0.46, 0.06, -2.15, 0.84, -0.21, 30.98 °C
0.23, -0.46, 0.06, -2.02, 0.74, 2.62, 31.00 °C
0.23, -0.46, 0.06, -2.21, 0.66, -0.46, 31.00 °C
0.23, -0.46, 0.06, -2.14, 0.93, -0.01, 31.01 °C
0.23, -0.46, 0.06, -2.11, 0.11, 0.66, 30.99 °C
0.23, -0.46, 0.06, -2.21, 0.72, -1.22, 30.99 °C
0.24, -0.46, 0.06, -1.82, 1.22, 2.48, 31.01 °C
0.23, -0.46, 0.06, -1.97, 1.27, 0.58, 31.01 °C
0.24, -0.45, 0.06, -2.85, 1.14, -3.36, 31.02 °C
0.24, -0.45, 0.06, -2.69, 1.27, -0.73, 31.03 °C
0.22, -0.46, 0.05, -2.50, 1.52, 0.09, 31.02 °C
0.23, -0.46, 0.06, -1.79, 0.64, 0.72, 31.04 °C
0.24, -0.45, 0.06, -1.56, -0.05, 0.19, 31.04 °C
0.24, -0.45, 0.05, -1.64, -0.07, 1.19, 31.04 °C
0.23, -0.46, 0.06, -2.11, 1.44, 1.77, 31.04 °C
0.23, -0.46, 0.06, -2.15, 0.92, -0.33, 31.02 °C
0.24, -0.46, 0.06, -2.73, 1.82, -0.02, 31.03 °C
0.23, -0.46, 0.06, -2.18, 0.35, 1.09, 31.03 °C
0.23, -0.46, 0.06, -2.18, 1.01, -0.46, 31.03 °C
0.23, -0.46, 0.06, -2.31, 0.41, -1.54, 31.04 °C
0.23, -0.46, 0.06, -1.32, 0.40, 2.08, 31.05 °C
0.24, -0.46, 0.06, -1.63, 0.07, 1.92, 31.06 °C
0.23, -0.46, 0.05, -2.32, 1.67, 2.46, 31.06 °C
0.23, -0.46, 0.06, -2.06, -0.23, -1.10, 31.06 °C
0.23, -0.46, 0.06, -2.35, 1.37, 1.30, 31.06 °C
0.21, -0.47, 0.06, -2.98, 2.41, -0.07, 31.08 °C
0.23, -0.46, 0.06, -1.95, 0.57, -0.31, 31.09 °C
0.23, -0.46, 0.06, -1.98, 0.75, 1.24, 31.09 °C
0.23, -0.46, 0.06, -2.08, 1.22, -1.55, 31.09 °C
0.23, -0.46, 0.06, -2.08, 0.67, 1.69, 31.11 °C
0.23, -0.46, 0.06, -2.09, 0.34, -1.40, 31.09 °C
0.23, -0.46, 0.06, -2.02, 0.98, 1.81, 31.09 °C
0.23, -0.46, 0.06, -2.13, 0.97, 0.37, 31.10 °C
0.23, -0.46, 0.06, -2.10, 1.19, 0.76, 31.11 °C
0.22, -0.46, 0.06, -2.07, 0.77, 1.67, 31.09 °C
0.22, -0.46, 0.06, -2.17, 0.85, -0.30, 31.10 °C
0.22, -0.46, 0.05, -2.33, 1.39, -0.53, 31.10 °C
0.22, -0.46, 0.06, -1.95, 0.46, -0.06, 31.12 °C
0.23, -0.46, 0.06, -2.21, 0.60, 0.43, 31.12 °C
0.23, -0.46, 0.06, -2.00, 0.12, 0.72, 31.11 °C
0.22, -0.46, 0.06, -2.15, 0.82, -0.77, 31.12 °C
0.22, -0.46, 0.06, -2.05, 1.27, 0.17, 31.14 °C
0.22, -0.46, 0.06, -2.11, 0.71, 0.71, 31.14 °C
0.22, -0.46, 0.06, -2.17, 1.15, -1.21, 31.12 °C
0.23, -0.46, 0.06, -2.18, 0.70, -0.31, 31.13 °C
0.23, -0.46, 0.06, -2.02, 1.17, 0.18, 31.14 °C
0.23, -0.46, 0.06, -2.29, 0.75, -1.69, 31.14 °C
0.22, -0.46, 0.06, -1.63, 0.11, 1.15, 31.13 °C
0.23, -0.46, 0.06, -2.15, 1.02, -0.15, 31.13 °C
0.23, -0.46, 0.06, -2.40, 0.89, -3.32, 31.14 °C
0.24, -0.46, 0.06, -1.71, 0.58, 1.35, 31.15 °C
0.23, -0.46, 0.06, -1.78, 0.53, 2.27, 31.15 °C
0.22, -0.46, 0.06, -2.31, 1.50, 0.21, 31.17 °C
0.23, -0.46, 0.06, -2.05, 0.95, 0.71, 31.14 °C
0.22, -0.46, 0.06, -2.05, 0.47, -0.73, 31.16 °C
0.22, -0.46, 0.06, -2.02, 1.09, 0.53, 31.15 °C
0.23, -0.46, 0.06, -2.13, 0.85, -0.16, 31.16 °C
0.22, -0.46, 0.06, -2.05, 0.82, 0.50, 31.16 °C
0.23, -0.46, 0.06, -2.12, 1.00, -0.66, 31.16 °C
0.23, -0.46, 0.06, -2.08, 0.71, 1.42, 31.19 °C
0.23, -0.46, 0.06, -2.15, 0.81, -0.56, 31.18 °C
0.22, -0.46, 0.06, -2.02, 0.51, 0.35, 31.18 °C
0.23, -0.46, 0.06, -1.98, 0.92, 1.21, 31.19 °C
0.22, -0.46, 0.06, -2.43, 1.66, 0.73, 31.20 °C
0.22, -0.46, 0.06, -2.32, 1.24, -1.01, 31.19 °C
0.23, -0.46, 0.06, -2.16, 1.55, 2.21, 31.17 °C
0.22, -0.46, 0.06, -2.18, 0.99, -1.13, 31.19 °C
0.23, -0.46, 0.06, -1.95, -0.50, 0.56, 31.19 °C
0.22, -0.46, 0.06, -2.23, 1.34, -2.44, 31.20 °C
0.23, -0.46, 0.06, -2.19, 0.79, -0.63, 31.22 °C
0.23, -0.46, 0.06, -1.99, 0.52, 0.44, 31.21 °C
0.23, -0.46, 0.06, -2.12, 0.89, -0.41, 31.21 °C
0.23, -0.46, 0.06, -2.11, 0.87, 0.07, 31.20 °C
0.23, -0.46, 0.06, -2.25, 0.84, -1.62, 31.21 °C
0.23, -0.46, 0.06, -2.12, 0.89, -0.21, 31.22 °C
0.23, -0.46, 0.06, -2.09, 1.21, -0.58, 31.22 °C
0.23, -0.46, 0.06, -2.24, 1.18, -0.62, 31.21 °C
0.23, -0.46, 0.06, -2.07, 0.63, 1.43, 31.22 °C
0.23, -0.46, 0.06, -1.99, 1.31, -0.20, 31.23 °C
0.23, -0.46, 0.06, -2.12, 0.48, -0.60, 31.25 °C
0.23, -0.46, 0.06, -2.21, 0.41, 0.70, 31.24 °C
0.23, -0.46, 0.06, -2.08, 0.99, 0.69, 31.22 °C
0.23, -0.46, 0.06, -2.04, 0.89, 0.47, 31.24 °C
0.23, -0.46, 0.06, -1.83, 0.42, 0.40, 31.24 °C
0.23, -0.46, 0.06, -2.12, 0.74, -0.76, 31.24 °C
0.23, -0.46, 0.06, -2.12, 0.95, -0.09, 31.26 °C
0.23, -0.46, 0.06, -2.06, 0.71, 0.82, 31.24 °C
0.23, -0.46, 0.06, -1.89, 0.40, 0.11, 31.24 °C
0.23, -0.46, 0.06, -2.07, 0.77, 0.63, 31.26 °C
0.23, -0.46, 0.06, -2.08, 1.15, -0.28, 31.26 °C
0.23, -0.46, 0.06, -2.43, 1.48, -0.45, 31.26 °C
0.23, -0.46, 0.06, -2.06, 0.75, 1.02, 31.27 °C
0.23, -0.46, 0.06, -2.05, 1.01, -0.43, 31.28 °C
0.23, -0.46, 0.06, -2.05, 0.75, 1.72, 31.25 °C
0.23, -0.46, 0.06, -2.20, 0.92, -0.59, 31.27 °C
0.23, -0.46, 0.06, -2.21, 0.81, -0.95, 31.28 °C
0.23, -0.46, 0.06, -2.14, 0.93, 0.30, 31.28 °C
0.23, -0.46, 0.06, -2.40, 1.14, -0.73, 31.29 °C
0.23, -0.46, 0.06, -2.13, 0.79, -0.13, 31.27 °C
0.23, -0.46, 0.06, -2.11, 1.08, 0.45, 31.29 °C
0.23, -0.46, 0.06, -2.09, 0.95, 0.12, 31.29 °C
0.23, -0.46, 0.06, -2.05, 0.67, 1.98, 31.30 °C
0.23, -0.46, 0.06, -2.10, 0.89, 0.04, 31.28 °C
0.23, -0.46, 0.06, -2.02, 0.95, 1.05, 31.30 °C
0.23, -0.46, 0.06, -2.11, 0.69, 0.24, 31.29 °C
0.23, -0.46, 0.06, -2.05, 0.79, 0.32, 31.29 °C
0.23, -0.46, 0.06, -2.16, 0.79, -0.10, 31.30 °C
0.23, -0.46, 0.06, -2.05, 0.73, 0.68, 31.30 °C
0.23, -0.46, 0.06, -2.17, 0.85, -0.56, 31.31 °C
0.23, -0.46, 0.06, -1.94, 0.72, 0.64, 31.31 °C
0.23, -0.46, 0.06, -2.05, 0.89, 0.17, 31.32 °C
0.23, -0.46, 0.06, -2.21, 0.79, -0.60, 31.30 °C
0.23, -0.46, 0.06, -2.11, 0.87, 0.18, 31.31 °C
0.23, -0.46, 0.06, -2.08, 1.27, 1.34, 31.32 °C
0.23, -0.46, 0.06, -2.08, 1.02, -0.18, 31.33 °C
0.23, -0.46, 0.06, -2.21, 0.47, 0.58, 31.33 °C
0.23, -0.46, 0.06, -2.77, 1.76, -1.30, 31.32 °C
0.23, -0.46, 0.06, -2.24, 1.59, 1.37, 31.33 °C
0.23, -0.46, 0.06, -2.21, 0.85, -0.79, 31.32 °C
0.23, -0.46, 0.06, -2.12, 1.08, -0.64, 31.33 °C
0.23, -0.46, 0.06, -2.34, 0.28, 0.15, 31.33 °C
0.23, -0.46, 0.06, -1.98, 0.81, 0.81, 31.34 °C
0.23, -0.46, 0.06, -2.11, 1.36, -1.12, 31.33 °C
0.23, -0.46, 0.06, -2.06, 0.79, 0.67, 31.35 °C
0.23, -0.46, 0.06, -2.44, 1.27, -0.73, 31.33 °C
0.23, -0.46, 0.06, -1.98, 1.00, 0.32, 31.36 °C
0.23, -0.46, 0.06, -1.97, 0.96, 0.76, 31.36 °C
0.23, -0.46, 0.06, -1.95, 1.11, 0.76, 31.36 °C
0.23, -0.46, 0.06, -2.15, 1.24, -0.40, 31.35 °C
0.23, -0.46, 0.06, -2.15, 0.60, -0.66, 31.35 °C
0.23, -0.46, 0.06, -2.07, 1.27, 0.61, 31.35 °C
0.23, -0.46, 0.06, -2.12, 0.92, -0.17, 31.37 °C
0.23, -0.46, 0.06, -2.08, 0.82, -0.14, 31.37 °C
0.23, -0.46, 0.06, -2.07, 0.81, 0.67, 31.35 °C
0.23, -0.46, 0.06, -2.18, 0.78, -0.03, 31.39 °C
0.23, -0.46, 0.06, -2.14, 0.84, 0.11, 31.38 °C
0.23, -0.46, 0.06, -2.23, 1.03, 0.11, 31.39 °C
0.23, -0.46, 0.06, -2.03, 0.95, 0.99, 31.36 °C
0.23, -0.46, 0.06, -2.13, 0.78, 0.24, 31.37 °C
0.23, -0.46, 0.06, -2.11, 0.89, 0.19, 31.38 °C
0.23, -0.46, 0.06, -2.15, 0.54, 0.89, 31.39 °C
0.23, -0.46, 0.06, -2.11, 1.04, -0.64, 31.40 °C
0.23, -0.46, 0.06, -2.03, 1.02, 0.82, 31.39 °C
0.23, -0.46, 0.06, -2.12, 0.66, 1.38, 31.39 °C
0.23, -0.46, 0.06, -2.11, 0.67, 0.62, 31.40 °C
0.23, -0.46, 0.06, -2.11, 0.81, -0.06, 31.40 °C
0.23, -0.46, 0.06, -2.12, 1.08, -0.78, 31.39 °C
0.23, -0.46, 0.06, -2.20, 0.95, -0.52, 31.42 °C
0.23, -0.46, 0.06, -2.07, 0.82, 0.40, 31.40 °C
0.23, -0.46, 0.06, -2.05, 0.96, 0.25, 31.41 °C
0.23, -0.46, 0.06, -2.06, 0.95, 0.17, 31.42 °C
0.23, -0.46, 0.06, -2.07, 0.76, 0.92, 31.44 °C
0.23, -0.46, 0.06, -2.10, 0.87, 0.70, 31.41 °C
0.23, -0.46, 0.06, -2.12, 0.84, -0.15, 31.41 °C
0.23, -0.46, 0.06, -2.05, 0.85, 1.10, 31.43 °C
0.23, -0.46, 0.06, -2.09, 0.65, 0.57, 31.42 °C
0.22, -0.46, 0.06, -2.09, 0.98, -0.55, 31.43 °C
0.23, -0.46, 0.06, -2.05, 0.77, 1.08, 31.44 °C
0.23, -0.46, 0.06, -2.17, 0.69, 0.08, 31.42 °C
0.23, -0.46, 0.06, -2.11, 1.31, -0.95, 31.41 °C
0.23, -0.46, 0.06, -2.06, 0.95, 0.67, 31.44 °C
0.23, -0.46, 0.06, -2.17, 0.76, -0.57, 31.46 °C
0.23, -0.46, 0.06, -2.12, 1.04, -0.53, 31.45 °C
0.23, -0.46, 0.06, -2.07, 1.04, 0.27, 31.42 °C
0.23, -0.46, 0.06, -2.18, 0.85, -0.96, 31.44 °C
0.23, -0.46, 0.06, -2.17, 0.67, 0.59, 31.44 °C
0.23, -0.46, 0.06, -2.19, 0.98, -1.05, 31.44 °C
0.23, -0.46, 0.06, -1.95, 1.09, 1.76, 31.44 °C
0.23, -0.46, 0.06, -2.22, 0.61, -0.12, 31.44 °C
0.23, -0.46, 0.06, -2.26, 0.92, -1.08, 31.47 °C
0.23, -0.46, 0.06, -2.18, 0.79, 0.08, 31.47 °C
0.23, -0.46, 0.06, -2.16, 1.32, -1.30, 31.47 °C
0.23, -0.46, 0.06, -2.16, 1.10, 0.10, 31.47 °C
0.23, -0.46, 0.06, -2.10, 0.99, 0.55, 31.45 °C
0.23, -0.46, 0.06, -2.07, 0.79, 0.67, 31.45 °C
0.23, -0.46, 0.06, -2.05, 0.79, 0.59, 31.45 °C
0.23, -0.46, 0.06, -2.18, 0.65, 0.50, 31.45 °C
0.23, -0.46, 0.06, -2.12, 0.37, -0.04, 31.46 °C
0.23, -0.46, 0.06, -1.99, 1.76, -0.13, 31.47 °C
0.23, -0.46, 0.06, -2.18, 0.83, -0.02, 31.48 °C
0.23, -0.46, 0.06, -2.18, 0.87, -0.42, 31.48 °C
0.23, -0.46, 0.06, -1.83, 1.17, 2.86, 31.50 °C
0.23, -0.46, 0.06, -2.14, 0.76, -0.08, 31.45 °C
0.23, -0.46, 0.06, -2.13, 0.64, 0.56, 31.47 °C
0.23, -0.46, 0.06, -2.13, 0.66, 0.60, 31.48 °C
0.23, -0.46, 0.06, -2.04, 0.91, 0.19, 31.49 °C
0.23, -0.46, 0.06, -2.06, 0.97, 0.65, 31.49 °C
0.23, -0.46, 0.06, -2.08, 0.76, 0.80, 31.49 °C
0.23, -0.46, 0.06, -2.08, 0.95, 0.28, 31.49 °C
0.23, -0.46, 0.06, -2.12, 0.64, 0.86, 31.48 °C
0.23, -0.46, 0.06, -2.05, 0.88, 0.11, 31.51 °C
0.23, -0.46, 0.06, -2.10, 0.88, 0.24, 31.51 °C
0.23, -0.46, 0.06, -2.05, 0.50, -0.34, 31.48 °C
0.23, -0.46, 0.06, -2.12, 0.80, 0.09, 31.50 °C
0.23, -0.46, 0.06, -2.03, 0.79, 0.98, 31.50 °C
0.23, -0.46, 0.06, -2.03, 1.05, 0.41, 31.51 °C
0.23, -0.46, 0.06, -2.06, 1.40, -0.15, 31.49 °C
0.23, -0.46, 0.06, -2.16, 1.02, -0.23, 31.50 °C
0.23, -0.46, 0.06, -2.40, 0.62, -2.04, 31.50 °C
0.23, -0.46, 0.06, -2.11, 0.98, 0.26, 31.51 °C
0.23, -0.46, 0.06, -2.23, 1.40, 0.97, 31.52 °C
0.23, -0.46, 0.06, -2.11, 1.00, 0.56, 31.53 °C
0.23, -0.46, 0.06, -2.12, 0.77, 0.07, 31.52 °C
0.23, -0.46, 0.06, -2.40, 1.71, 1.60, 31.49 °C
0.23, -0.46, 0.06, -2.11, 0.96, -0.09, 31.52 °C
0.23, -0.46, 0.06, -2.21, 0.21, -0.79, 31.53 °C
0.23, -0.46, 0.06, -2.05, 0.94, 0.87, 31.54 °C
0.23, -0.46, 0.06, -2.10, 1.00, 0.09, 31.53 °C
0.23, -0.46, 0.06, -2.02, 1.11, 1.43, 31.53 °C
0.23, -0.46, 0.06, -2.30, 1.08, 0.32, 31.52 °C
0.23, -0.46, 0.06, -2.18, 0.73, -0.24, 31.54 °C
0.23, -0.46, 0.06, -2.18, 0.78, -0.46, 31.54 °C
0.23, -0.46, 0.06, -2.09, 0.75, -0.02, 31.54 °C
0.23, -0.46, 0.06, -1.97, 0.72, 1.34, 31.54 °C
0.23, -0.46, 0.06, -2.26, 0.84, -1.26, 31.53 °C
0.23, -0.46, 0.06, -2.14, 0.73, 0.50, 31.53 °C
0.23, -0.46, 0.06, -2.14, 0.85, 0.22, 31.54 °C
0.23, -0.46, 0.06, -2.09, 0.95, 0.12, 31.54 °C
0.23, -0.46, 0.06, -2.19, 0.66, -0.34, 31.54 °C
0.23, -0.46, 0.06, -2.09, 0.89, 0.23, 31.54 °C
0.23, -0.46, 0.06, -2.10, 1.08, -0.57, 31.54 °C
0.23, -0.46, 0.06, -1.94, 0.73, 0.73, 31.55 °C
0.23, -0.46, 0.06, -2.15, 1.06, 0.23, 31.54 °C
0.23, -0.46, 0.06, -2.21, 0.70, -0.12, 31.55 °C
0.23, -0.46, 0.06, -2.04, 1.08, 0.49, 31.54 °C
0.23, -0.46, 0.06, -2.18, 0.79, -0.02, 31.56 °C
0.23, -0.46, 0.06, -2.06, 0.95, 0.05, 31.55 °C
0.23, -0.46, 0.06, -2.09, 0.85, 0.44, 31.56 °C
0.23, -0.46, 0.06, -2.21, 0.76, -1.50, 31.55 °C
0.23, -0.46, 0.06, -2.30, 0.95, -0.66, 31.56 °C
0.23, -0.46, 0.06, -2.19, 0.83, -0.70, 31.57 °C
0.23, -0.46, 0.06, -2.11, 0.79, 0.84, 31.57 °C
0.23, -0.46, 0.06, -2.02, 0.89, 0.44, 31.55 °C
0.23, -0.46, 0.06, -2.09, 1.12, -0.08, 31.57 °C
0.23, -0.46, 0.06, -2.11, 0.90, 0.27, 31.59 °C
0.23, -0.46, 0.06, -2.17, 1.08, 0.62, 31.58 °C
0.23, -0.46, 0.06, -2.13, 0.86, 0.12, 31.57 °C
0.23, -0.46, 0.06, -2.13, 0.91, 0.23, 31.56 °C
0.23, -0.46, 0.06, -2.15, 0.90, -0.14, 31.58 °C
0.23, -0.46, 0.06, -2.27, 1.02, 0.36, 31.57 °C
0.23, -0.46, 0.06, -2.11, 1.11, 0.48, 31.58 °C
0.23, -0.46, 0.06, -2.00, 0.38, 0.08, 31.58 °C
0.23, -0.46, 0.06, -2.04, 0.87, 1.59, 31.59 °C
0.23, -0.46, 0.06, -2.11, 0.98, -0.19, 31.58 °C
0.23, -0.46, 0.06, -2.11, 0.91, 0.77, 31.57 °C
0.23, -0.46, 0.06, -2.11, 0.98, 0.21, 31.57 °C
0.23, -0.46, 0.06, -2.11, 1.22, 0.23, 31.60 °C
0.23, -0.46, 0.06, -2.09, 0.68, 0.69, 31.57 °C
0.23, -0.46, 0.06, -1.92, 0.20, -0.03, 31.58 °C
0.23, -0.46, 0.06, -2.04, 0.82, 0.85, 31.58 °C
0.23, -0.46, 0.06, -2.14, 1.16, -1.26, 31.58 °C
0.23, -0.46, 0.06, -2.14, 0.85, 0.47, 31.59 °C
0.23, -0.46, 0.06, -2.08, 0.76, 0.94, 31.59 °C
0.23, -0.46, 0.06, -2.15, 0.85, -0.29, 31.60 °C
0.23, -0.46, 0.06, -2.04, 0.79, 0.95, 31.59 °C
0.23, -0.46, 0.06, -2.13, 0.89, 0.28, 31.60 °C
0.23, -0.46, 0.06, -2.27, 0.82, -1.05, 31.58 °C
0.23, -0.46, 0.06, -2.13, 1.29, -0.84, 31.61 °C
0.23, -0.46, 0.06, -2.15, 0.93, -0.24, 31.61 °C
0.23, -0.46, 0.06, -2.14, 0.66, 0.80, 31.59 °C
0.23, -0.46, 0.06, -2.10, 0.95, -0.08, 31.62 °C
0.23, -0.46, 0.06, -2.11, 0.85, -0.05, 31.60 °C
